id,name,Rating,Bedrooms,Bathroom,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,license Satuts,
726376,Rental unit in Chicago ,4.7, 1 bedroom , 1 bath,41.93903,-87.65196,Entire home/apt,120,2,770,8/23/2023,6,2,77,48,R22000080211,  Register,
739495,Rental unit in Chicago ,4.9, 2 bedrooms , 1 bath,41.9765,-87.68144,Entire home/apt,99,32,214,8/27/2023,2,1,134,14,R17000020094,  Register,
755701,Rental unit in Chicago ,4.7, 3 bedrooms , 1 bath,41.93115,-87.71836,Entire home/apt,80,32,28,7/30/2023,0,4,214,3,City registration pending,Not Registers,
790934,Rental unit in Chicago ,4.7, 1 bedroom , 2 shared baths,42.01653,-87.68788,Shared room,156,1,139,2/3/2020,1,15,0,0,R21000075752,  Register,
863120,Condo in Chicago ,4.9, 3 bedrooms , 2.5 baths,41.92218,-87.66079,Private room,85,2,145,8/14/2023,1,1,159,29,R21000072699,  Register,
887038,Rental unit in Chicago ,4.3, 2 bedrooms , 1 bath,41.92546,-87.6573,Entire home/apt,125,32,45,8/13/2023,0,4,181,6,City registration pending,Not Registers,
903996,Home in Chicago ,5.0, 1 bedroom , 1 private bath,41.92708,-87.71212,Private room,110,32,145,3/19/2020,1,1,4,0,R17000015433,  Register,
929914,Rental unit in Chicago ,4.9, 1 bedroom , 1 bath,41.91241074,-87.63896942,Entire home/apt,128,3,454,8/31/2023,4,1,96,52,R21000073898,  Register,
931105,Home in Chicago ,4.9, 1 bedroom , 1.5 shared baths,41.88538,-87.69801,Private room,136,32,23,11/2/2018,0,1,362,0,R17000015264,  Register,
949514,Condo in Chicago ,4.8, 1 bedroom , 1 private bath,41.9055,-87.66685,Private room,50,32,133,3/2/2020,1,1,0,0,R17000017886,  Register,
956609,Rental unit in Chicago ,0.0, 2 bedroom , 2 baths,42.01612,-87.67443,Entire home/apt,150,7,0,3/2/2020,,1,363,0,R23000108176,  Register,
960326,Condo in Chicago ,4.9, 3 bedrooms , 2 baths,41.89602,-87.65659,Entire home/apt,257,2,407,8/27/2023,3,24,324,46,2457501,  Register,
966137,Home in Chicago ,4.7, 2 bedrooms , 1 bath,41.86801,-87.67877,Entire home/apt,133,32,41,8/14/2022,0,1,87,0,city registration pending,Not Registers,
979841,Home in Chicago ,5.0, 1 bedroom , 1.5 shared baths,42.00588,-87.66853,Private room,89,2,300,9/9/2023,2,4,333,39,R17000015436,  Register,
979926,Home in Chicago ,5.0, 1 bedroom , 1.5 shared baths,42.00477,-87.66842,Private room,79,2,330,9/3/2023,3,4,344,36,R17000015436,  Register,
979942,Home in Chicago ,4.9, 1 bedroom , 1.5 shared baths,42.00378,-87.66807,Private room,79,2,305,9/3/2023,2,4,342,28,R17000015436,  Register,
